id,brand_id,related_brand_id,relationship_type,category,overlapping_regions,org_id
1,100,102,competitor,Baby Care,India - Tier 2/3,1
2,102,100,competitor,Baby Care,India - Tier 2/3,1
3,100,103,competitor,Baby Care,India - Tier 2/3,1
4,103,100,competitor,Baby Care,India - Tier 2/3,1
5,100,105,competitor,Baby Care,India - Tier 2/3,1
6,105,100,competitor,Baby Care,India - Tier 2/3,1
7,100,106,competitor,Baby Care,India - Tier 2/3,1
8,106,100,competitor,Baby Care,India - Tier 2/3,1
9,100,108,competitor,Baby Care,India - Tier 2/3,1
10,108,100,competitor,Baby Care,India - Tier 2/3,1
11,101,104,competitor,Baby Care,Gulf - Qatar,1
12,104,101,competitor,Baby Care,Gulf - Qatar,1
13,101,109,competitor,Baby Care,Gulf - Qatar,1
14,109,101,competitor,Baby Care,Gulf - Qatar,1
15,102,103,competitor,Baby Care,India - Tier 2/3,1
16,103,102,competitor,Baby Care,India - Tier 2/3,1
17,102,104,sibling,Baby Care,,1
18,104,102,sibling,Baby Care,,1
19,102,105,competitor,Baby Care,India - Tier 2/3,1
20,105,102,competitor,Baby Care,India - Tier 2/3,1
21,102,106,competitor,Baby Care,India - Tier 2/3,1
22,106,102,competitor,Baby Care,India - Tier 2/3,1
23,102,108,competitor,Baby Care,India - Tier 2/3,1
24,108,102,competitor,Baby Care,India - Tier 2/3,1
25,103,105,competitor,Baby Care,India - Tier 2/3,1
26,105,103,competitor,Baby Care,India - Tier 2/3,1
27,103,106,competitor,Baby Care,India - Tier 2/3,1
28,106,103,competitor,Baby Care,India - Tier 2/3,1
29,103,108,competitor,Baby Care,India - Tier 2/3,1
30,108,103,competitor,Baby Care,India - Tier 2/3,1
31,104,105,competitor,Baby Care,SEA - Indonesia,1
32,105,104,competitor,Baby Care,SEA - Indonesia,1
33,104,107,competitor,Baby Care,SEA - Indonesia,1
34,107,104,competitor,Baby Care,SEA - Indonesia,1
35,104,109,competitor,Baby Care,Gulf - Qatar,1
36,109,104,competitor,Baby Care,Gulf - Qatar,1
37,105,106,competitor,Baby Care,India - Tier 2/3,1
38,106,105,competitor,Baby Care,India - Tier 2/3,1
39,105,107,competitor,Baby Care,SEA - Indonesia,1
40,107,105,competitor,Baby Care,SEA - Indonesia,1
41,105,108,competitor,Baby Care,India - Tier 2/3,1
42,108,105,competitor,Baby Care,India - Tier 2/3,1
43,106,108,competitor,Baby Care,Gulf - Saudi|India - Tier 2/3,1
44,108,106,competitor,Baby Care,Gulf - Saudi|India - Tier 2/3,1
45,109,110,competitor,Baby Care,North America,1
46,110,109,competitor,Baby Care,North America,1
47,45,46,competitor,Beverages,Gulf - Saudi,1
48,46,45,competitor,Beverages,Gulf - Saudi,1
49,45,47,competitor,Beverages,Gulf - Saudi,1
50,47,45,competitor,Beverages,Gulf - Saudi,1
51,45,53,competitor,Beverages,Gulf - Saudi,1
52,53,45,competitor,Beverages,Gulf - Saudi,1
53,45,54,competitor,Beverages,Gulf - Saudi,1
54,54,45,competitor,Beverages,Gulf - Saudi,1
55,46,47,competitor,Beverages,Gulf - Saudi,1
56,47,46,competitor,Beverages,Gulf - Saudi,1
57,46,51,competitor,Beverages,North America,1
58,51,46,competitor,Beverages,North America,1
59,46,53,competitor,Beverages,Gulf - Saudi,1
60,53,46,competitor,Beverages,Gulf - Saudi,1
61,46,54,competitor,Beverages,Gulf - Saudi,1
62,54,46,competitor,Beverages,Gulf - Saudi,1
63,47,49,competitor,Beverages,India - Tier 2/3,1
64,49,47,competitor,Beverages,India - Tier 2/3,1
65,47,53,competitor,Beverages,Gulf - Saudi,1
66,53,47,competitor,Beverages,Gulf - Saudi,1
67,47,54,competitor,Beverages,Gulf - Saudi|India - Tier 2/3,1
68,54,47,competitor,Beverages,Gulf - Saudi|India - Tier 2/3,1
69,48,52,competitor,Beverages,Gulf - Qatar,1
70,52,48,competitor,Beverages,Gulf - Qatar,1
71,48,53,competitor,Beverages,Gulf - Qatar,1
72,53,48,competitor,Beverages,Gulf - Qatar,1
73,49,54,competitor,Beverages,India - Tier 2/3,1
74,54,49,competitor,Beverages,India - Tier 2/3,1
75,50,55,competitor,Beverages,SEA - Indonesia,1
76,55,50,competitor,Beverages,SEA - Indonesia,1
77,52,53,competitor,Beverages,Gulf - Qatar,1
78,53,52,competitor,Beverages,Gulf - Qatar,1
79,53,54,competitor,Beverages,Gulf - Saudi,1
80,54,53,competitor,Beverages,Gulf - Saudi,1
81,89,94,competitor,Breakfast & Cereal,India - Tier 2/3,1
82,94,89,competitor,Breakfast & Cereal,India - Tier 2/3,1
83,89,96,competitor,Breakfast & Cereal,India - Tier 2/3,1
84,96,89,competitor,Breakfast & Cereal,India - Tier 2/3,1
85,89,98,competitor,Breakfast & Cereal,India - Tier 2/3,1
86,98,89,competitor,Breakfast & Cereal,India - Tier 2/3,1
87,90,91,competitor,Breakfast & Cereal,SEA - Malaysia,1
88,91,90,competitor,Breakfast & Cereal,SEA - Malaysia,1
89,90,93,competitor,Breakfast & Cereal,Gulf - UAE,1
90,93,90,competitor,Breakfast & Cereal,Gulf - UAE,1
91,90,97,competitor,Breakfast & Cereal,SEA - Malaysia,1
92,97,90,competitor,Breakfast & Cereal,SEA - Malaysia,1
93,90,99,competitor,Breakfast & Cereal,Gulf - UAE|SEA - Malaysia,1
94,99,90,competitor,Breakfast & Cereal,Gulf - UAE|SEA - Malaysia,1
95,91,95,competitor,Breakfast & Cereal,Gulf - Saudi,1
96,95,91,competitor,Breakfast & Cereal,Gulf - Saudi,1
97,91,97,competitor,Breakfast & Cereal,SEA - Malaysia,1
98,97,91,competitor,Breakfast & Cereal,SEA - Malaysia,1
99,91,98,competitor,Breakfast & Cereal,Gulf - Saudi,1
100,98,91,competitor,Breakfast & Cereal,Gulf - Saudi,1
101,91,99,competitor,Breakfast & Cereal,SEA - Malaysia,1
102,99,91,competitor,Breakfast & Cereal,SEA - Malaysia,1
103,92,93,competitor,Breakfast & Cereal,SEA - Philippines,1
104,93,92,competitor,Breakfast & Cereal,SEA - Philippines,1
105,93,99,competitor,Breakfast & Cereal,Gulf - UAE,1
106,99,93,competitor,Breakfast & Cereal,Gulf - UAE,1
107,94,96,competitor,Breakfast & Cereal,India - Tier 2/3,1
108,96,94,competitor,Breakfast & Cereal,India - Tier 2/3,1
109,94,98,competitor,Breakfast & Cereal,India - Tier 2/3,1
110,98,94,competitor,Breakfast & Cereal,India - Tier 2/3,1
111,95,98,competitor,Breakfast & Cereal,Gulf - Saudi,1
112,98,95,competitor,Breakfast & Cereal,Gulf - Saudi,1
113,96,98,competitor,Breakfast & Cereal,India - Tier 2/3,1
114,98,96,competitor,Breakfast & Cereal,India - Tier 2/3,1
115,97,99,competitor,Breakfast & Cereal,SEA - Malaysia,1
116,99,97,competitor,Breakfast & Cereal,SEA - Malaysia,1
117,78,81,sibling,Confectionery,,1
118,81,78,sibling,Confectionery,,1
119,78,84,competitor,Confectionery,SEA - Indonesia,1
120,84,78,competitor,Confectionery,SEA - Indonesia,1
121,78,88,competitor,Confectionery,SEA - Indonesia,1
122,88,78,competitor,Confectionery,SEA - Indonesia,1
123,79,80,competitor,Confectionery,India - Tier 2/3,1
124,80,79,competitor,Confectionery,India - Tier 2/3,1
125,79,82,competitor,Confectionery,India - Tier 2/3,1
126,82,79,competitor,Confectionery,India - Tier 2/3,1
127,79,83,competitor,Confectionery,India - Tier 2/3,1
128,83,79,competitor,Confectionery,India - Tier 2/3,1
129,79,85,competitor,Confectionery,India - Tier 2/3,1
130,85,79,competitor,Confectionery,India - Tier 2/3,1
131,80,82,competitor,Confectionery,India - Tier 2/3|North America,1
132,82,80,competitor,Confectionery,India - Tier 2/3|North America,1
133,80,83,competitor,Confectionery,India - Tier 2/3,1
134,83,80,competitor,Confectionery,India - Tier 2/3,1
