id,brand_id,category,retailer_id,region,signal_date,signal_type,magnitude_pct,description,org_id
1,54,Beverages,126,Gulf - Saudi,2025-12-28,promo_launch,10.8,"Nomad Drinks launched a promo at Local Trade Collective #2 (Saudi) the week of 2025-12-28 (Display, 11% depth).",1
2,75,Dairy,82,India - Tier 2/3,2025-12-28,promo_launch,46.4,"Vivid Dairy launched a promo at ValueTrade GT #2 (Tier 2/3) the week of 2025-12-28 (BOGO, 46% depth).",1
3,11,Salty Snacks,29,North America,2025-12-28,promo_launch,9.4,"Silver Snacks launched a promo at QuickStop #2 the week of 2025-12-28 (TPR, 9% depth).",1
4,75,Dairy,94,Gulf - UAE,2025-12-28,promo_launch,11.9,"Vivid Dairy launched a promo at DailyBasket (UAE) the week of 2025-12-28 (TPR, 12% depth).",1
5,51,Beverages,19,North America,2025-12-28,promo_launch,18.6,"Coastal Drinks launched a promo at GreenLeaf Naturals the week of 2025-12-28 (Ad, 19% depth).",1
6,33,Personal Care,122,Gulf - Saudi,2025-12-28,promo_launch,14.7,"Cloud Glow launched a promo at Community Retail Co-op (Saudi) the week of 2025-12-28 (Display, 15% depth).",1
7,90,Breakfast & Cereal,103,Gulf - UAE,2025-12-28,promo_launch,9.0,"Prime Grains launched a promo at SwiftBasket (UAE) the week of 2025-12-28 (TPR, 9% depth).",1
8,75,Dairy,92,Gulf - UAE,2025-12-28,promo_launch,6.7,"Vivid Dairy launched a promo at GreenAisle (UAE) the week of 2025-12-28 (TPR, 7% depth).",1
9,51,Beverages,21,North America,2025-12-28,promo_launch,48.3,"Coastal Drinks launched a promo at EarthAisle the week of 2025-12-28 (BOGO, 48% depth).",1
10,51,Beverages,26,North America,2025-12-28,promo_launch,16.3,"Coastal Drinks launched a promo at CornerFuel Mart the week of 2025-12-28 (Display, 16% depth).",1
11,51,Beverages,32,North America,2025-12-28,promo_launch,48.9,"Coastal Drinks launched a promo at ExpressStop #2 the week of 2025-12-28 (BOGO, 49% depth).",1
12,33,Personal Care,88,India - Tier 2/3,2025-12-28,promo_launch,45.1,"Cloud Glow launched a promo at Sundry Traders Network #2 (Tier 2/3) the week of 2025-12-28 (BOGO, 45% depth).",1
13,98,Breakfast & Cereal,84,India - Tier 2/3,2025-12-28,promo_launch,14.8,"Coastal Mornings launched a promo at Corner Store Network #2 (Tier 2/3) the week of 2025-12-28 (Display, 15% depth).",1
14,33,Personal Care,86,India - Tier 2/3,2025-12-28,promo_launch,15.7,"Cloud Glow launched a promo at Bazaar Wholesale #2 (Tier 2/3) the week of 2025-12-28 (Display, 16% depth).",1
15,103,Baby Care,80,India - Tier 2/3,2025-12-28,promo_launch,45.1,"Coastal Baby Essentials launched a promo at Sundry Traders Network (Tier 2/3) the week of 2025-12-28 (BOGO, 45% depth).",1
16,51,Beverages,13,North America,2025-12-28,promo_launch,45.4,"Coastal Drinks launched a promo at GreenAisle #2 the week of 2025-12-28 (BOGO, 45% depth).",1
17,109,Baby Care,1,North America,2025-12-28,promo_launch,17.4,"Silver Little Ones launched a promo at FreshMart the week of 2025-12-28 (Ad, 17% depth).",1
18,90,Breakfast & Cereal,96,Gulf - UAE,2025-12-28,promo_launch,12.5,"Prime Grains launched a promo at UrbanPantry (UAE) the week of 2025-12-28 (TPR, 12% depth).",1
19,16,Sparkling Water,172,SEA - Philippines,2025-12-28,promo_launch,14.5,"Sunrise Water Co launched a promo at HopMart (Philippines) the week of 2025-12-28 (TPR, 14% depth).",1
20,98,Breakfast & Cereal,85,India - Tier 2/3,2025-12-28,promo_launch,6.8,"Coastal Mornings launched a promo at Community Retail Co-op #2 (Tier 2/3) the week of 2025-12-28 (TPR, 7% depth).",1
21,16,Sparkling Water,173,SEA - Philippines,2025-12-28,promo_launch,8.4,"Sunrise Water Co launched a promo at Local Trade Collective (Philippines) the week of 2025-12-28 (TPR, 8% depth).",1
22,75,Dairy,79,India - Tier 2/3,2025-12-28,promo_launch,14.5,"Vivid Dairy launched a promo at MarketLink GT (Tier 2/3) the week of 2025-12-28 (Display, 14% depth).",1
23,90,Breakfast & Cereal,94,Gulf - UAE,2025-12-28,promo_launch,47.0,"Prime Grains launched a promo at DailyBasket (UAE) the week of 2025-12-28 (BOGO, 47% depth).",1
24,33,Personal Care,77,India - Tier 2/3,2025-12-28,promo_launch,6.0,"Cloud Glow launched a promo at Community Retail Co-op (Tier 2/3) the week of 2025-12-28 (TPR, 6% depth).",1
25,33,Personal Care,76,India - Tier 2/3,2025-12-28,promo_launch,11.5,"Cloud Glow launched a promo at Corner Store Network (Tier 2/3) the week of 2025-12-28 (TPR, 12% depth).",1
26,105,Baby Care,199,SEA - Indonesia,2025-12-28,promo_launch,12.1,"Silver Baby Essentials launched a promo at MarketLink GT (Indonesia) the week of 2025-12-28 (TPR, 12% depth).",1
27,33,Personal Care,73,India - Tier 2/3,2025-12-28,promo_launch,17.7,"Cloud Glow launched a promo at Local Trade Collective (Tier 2/3) the week of 2025-12-28 (Ad, 18% depth).",1
28,33,Personal Care,72,India - Tier 2/3,2025-12-28,promo_launch,8.6,"Cloud Glow launched a promo at ValueGrocer (Tier 2/3) the week of 2025-12-28 (TPR, 9% depth).",1
29,51,Beverages,14,North America,2025-12-28,promo_launch,11.1,"Coastal Drinks launched a promo at SaverClub the week of 2025-12-28 (Display, 11% depth).",1
30,51,Beverages,10,North America,2025-12-28,promo_launch,9.1,"Coastal Drinks launched a promo at HomeFresh the week of 2025-12-28 (TPR, 9% depth).",1
31,11,Salty Snacks,16,North America,2025-12-28,promo_launch,48.1,"Silver Snacks launched a promo at WareClub the week of 2025-12-28 (BOGO, 48% depth).",1
32,110,Baby Care,9,North America,2025-12-28,promo_launch,24.7,"Meadow Tiny Care launched a promo at CityMart the week of 2025-12-28 (Ad, 25% depth).",1
33,51,Beverages,17,North America,2025-12-28,promo_launch,5.7,"Coastal Drinks launched a promo at MegaValue Club the week of 2025-12-28 (TPR, 6% depth).",1
34,81,Confectionery,128,Gulf - Qatar,2025-12-28,promo_launch,20.0,"Prime Candy Co launched a promo at MetroBazaar (Qatar) the week of 2025-12-28 (Display, 20% depth).",1
35,33,Personal Care,121,Gulf - Saudi,2025-12-28,promo_launch,12.5,"Cloud Glow launched a promo at Corner Store Network (Saudi) the week of 2025-12-28 (Display, 12% depth).",1
36,51,Beverages,26,North America,2025-12-28,promo_launch,15.2,"Coastal Drinks launched a promo at CornerFuel Mart the week of 2025-12-28 (Display, 15% depth).",1
37,90,Breakfast & Cereal,154,SEA - Malaysia,2025-12-28,promo_launch,45.7,"Prime Grains launched a promo at Local Trade Collective (Malaysia) the week of 2025-12-28 (BOGO, 46% depth).",1
38,33,Personal Care,119,Gulf - Saudi,2025-12-28,promo_launch,46.0,"Cloud Glow launched a promo at ValueTrade GT (Saudi) the week of 2025-12-28 (BOGO, 46% depth).",1
39,15,Sparkling Water,126,Gulf - Saudi,2025-12-28,promo_launch,17.1,"Blue Springs launched a promo at Local Trade Collective #2 (Saudi) the week of 2025-12-28 (Display, 17% depth).",1
40,33,Personal Care,117,Gulf - Saudi,2025-12-28,promo_launch,5.6,"Cloud Glow launched a promo at SunriseMart (Saudi) the week of 2025-12-28 (TPR, 6% depth).",1
41,81,Confectionery,131,Gulf - Qatar,2025-12-28,promo_launch,21.3,"Prime Candy Co launched a promo at DailyBasket (Qatar) the week of 2025-12-28 (Ad, 21% depth).",1
42,51,Beverages,33,North America,2025-12-28,promo_launch,11.1,"Coastal Drinks launched a promo at QuickStop #3 the week of 2025-12-28 (Display, 11% depth).",1
43,95,Breakfast & Cereal,122,Gulf - Saudi,2025-12-28,promo_launch,46.8,"Cloud Mornings launched a promo at Community Retail Co-op (Saudi) the week of 2025-12-28 (BOGO, 47% depth).",1
44,75,Dairy,65,India - Tier 2/3,2025-12-28,promo_launch,11.0,"Vivid Dairy launched a promo at FreshMart (Tier 2/3) the week of 2025-12-28 (TPR, 11% depth).",1
45,33,Personal Care,84,India - Tier 2/3,2025-12-28,promo_launch,13.0,"Cloud Glow launched a promo at Corner Store Network #2 (Tier 2/3) the week of 2025-12-28 (TPR, 13% depth).",1
46,90,Breakfast & Cereal,109,Gulf - UAE,2025-12-28,promo_launch,46.1,"Prime Grains launched a promo at Neighborhood Wholesale (UAE) the week of 2025-12-28 (BOGO, 46% depth).",1
47,51,Beverages,154,SEA - Malaysia,2025-12-28,promo_launch,47.8,"Coastal Drinks launched a promo at Local Trade Collective (Malaysia) the week of 2025-12-28 (BOGO, 48% depth).",1
48,103,Baby Care,86,India - Tier 2/3,2025-12-28,promo_launch,8.9,"Coastal Baby Essentials launched a promo at Bazaar Wholesale #2 (Tier 2/3) the week of 2025-12-28 (TPR, 9% depth).",1
