id,brand_id,name,category,subcategory,size
1,1,True Snacks Tortilla Chips,Salty Snacks,Tortilla Chips,150g
2,1,True Snacks Potato Chips,Salty Snacks,Potato Chips,200g
3,1,True Snacks Pretzels,Salty Snacks,Pretzels,300g
4,1,True Snacks Popcorn,Salty Snacks,Popcorn,Family Pack
5,2,Bold Snacks Tortilla Chips,Salty Snacks,Tortilla Chips,150g
6,2,Bold Snacks Potato Chips,Salty Snacks,Potato Chips,200g
7,2,Bold Snacks Pretzels,Salty Snacks,Pretzels,300g
8,2,Bold Snacks Popcorn,Salty Snacks,Popcorn,Family Pack
9,3,Prime Snacks Tortilla Chips,Salty Snacks,Tortilla Chips,150g
10,3,Prime Snacks Potato Chips,Salty Snacks,Potato Chips,200g
11,3,Prime Snacks Pretzels,Salty Snacks,Pretzels,300g
12,3,Prime Snacks Popcorn,Salty Snacks,Popcorn,Family Pack
13,4,Blue Bites Tortilla Chips,Salty Snacks,Tortilla Chips,150g
14,4,Blue Bites Potato Chips,Salty Snacks,Potato Chips,200g
15,4,Blue Bites Pretzels,Salty Snacks,Pretzels,300g
16,4,Blue Bites Popcorn,Salty Snacks,Popcorn,Family Pack
17,5,Urban Crisps Tortilla Chips,Salty Snacks,Tortilla Chips,150g
18,5,Urban Crisps Potato Chips,Salty Snacks,Potato Chips,200g
19,5,Urban Crisps Pretzels,Salty Snacks,Pretzels,300g
20,5,Urban Crisps Popcorn,Salty Snacks,Popcorn,Family Pack
21,6,Coastal Bites Tortilla Chips,Salty Snacks,Tortilla Chips,150g
22,6,Coastal Bites Potato Chips,Salty Snacks,Potato Chips,200g
23,6,Coastal Bites Pretzels,Salty Snacks,Pretzels,300g
24,6,Coastal Bites Popcorn,Salty Snacks,Popcorn,Family Pack
25,7,Urban Bites Tortilla Chips,Salty Snacks,Tortilla Chips,150g
26,7,Urban Bites Potato Chips,Salty Snacks,Potato Chips,200g
27,7,Urban Bites Pretzels,Salty Snacks,Pretzels,300g
28,7,Urban Bites Popcorn,Salty Snacks,Popcorn,Family Pack
29,8,Meadow Crisps Tortilla Chips,Salty Snacks,Tortilla Chips,150g
30,8,Meadow Crisps Potato Chips,Salty Snacks,Potato Chips,200g
31,8,Meadow Crisps Pretzels,Salty Snacks,Pretzels,300g
32,8,Meadow Crisps Popcorn,Salty Snacks,Popcorn,Family Pack
33,9,Spring Crisps Tortilla Chips,Salty Snacks,Tortilla Chips,150g
34,9,Spring Crisps Potato Chips,Salty Snacks,Potato Chips,200g
35,9,Spring Crisps Pretzels,Salty Snacks,Pretzels,300g
36,9,Spring Crisps Popcorn,Salty Snacks,Popcorn,Family Pack
37,10,Silver Chips Tortilla Chips,Salty Snacks,Tortilla Chips,150g
38,10,Silver Chips Potato Chips,Salty Snacks,Potato Chips,200g
39,10,Silver Chips Pretzels,Salty Snacks,Pretzels,300g
40,10,Silver Chips Popcorn,Salty Snacks,Popcorn,Family Pack
41,11,Silver Snacks Tortilla Chips,Salty Snacks,Tortilla Chips,150g
42,11,Silver Snacks Potato Chips,Salty Snacks,Potato Chips,200g
43,11,Silver Snacks Pretzels,Salty Snacks,Pretzels,300g
44,11,Silver Snacks Popcorn,Salty Snacks,Popcorn,Family Pack
45,12,True Water Co Lime,Sparkling Water,Lime,330ml
46,12,True Water Co Berry,Sparkling Water,Berry,500ml
47,12,True Water Co Plain,Sparkling Water,Plain,1L
48,12,True Water Co Citrus,Sparkling Water,Citrus,6-pack
49,13,Urban Bubbles Lime,Sparkling Water,Lime,330ml
50,13,Urban Bubbles Berry,Sparkling Water,Berry,500ml
51,13,Urban Bubbles Plain,Sparkling Water,Plain,1L
52,13,Urban Bubbles Citrus,Sparkling Water,Citrus,6-pack
53,14,Golden Bubbles Lime,Sparkling Water,Lime,330ml
54,14,Golden Bubbles Berry,Sparkling Water,Berry,500ml
55,14,Golden Bubbles Plain,Sparkling Water,Plain,1L
56,14,Golden Bubbles Citrus,Sparkling Water,Citrus,6-pack
57,15,Blue Springs Lime,Sparkling Water,Lime,330ml
58,15,Blue Springs Berry,Sparkling Water,Berry,500ml
59,15,Blue Springs Plain,Sparkling Water,Plain,1L
60,15,Blue Springs Citrus,Sparkling Water,Citrus,6-pack
61,16,Sunrise Water Co Lime,Sparkling Water,Lime,330ml
62,16,Sunrise Water Co Berry,Sparkling Water,Berry,500ml
63,16,Sunrise Water Co Plain,Sparkling Water,Plain,1L
64,16,Sunrise Water Co Citrus,Sparkling Water,Citrus,6-pack
65,17,Nomad Bubbles Lime,Sparkling Water,Lime,330ml
66,17,Nomad Bubbles Berry,Sparkling Water,Berry,500ml
67,17,Nomad Bubbles Plain,Sparkling Water,Plain,1L
68,17,Nomad Bubbles Citrus,Sparkling Water,Citrus,6-pack
69,18,Royal Fizz Lime,Sparkling Water,Lime,330ml
70,18,Royal Fizz Berry,Sparkling Water,Berry,500ml
71,18,Royal Fizz Plain,Sparkling Water,Plain,1L
72,18,Royal Fizz Citrus,Sparkling Water,Citrus,6-pack
73,19,Fresh Fizz Lime,Sparkling Water,Lime,330ml
74,19,Fresh Fizz Berry,Sparkling Water,Berry,500ml
75,19,Fresh Fizz Plain,Sparkling Water,Plain,1L
76,19,Fresh Fizz Citrus,Sparkling Water,Citrus,6-pack
77,20,Heritage Springs Lime,Sparkling Water,Lime,330ml
78,20,Heritage Springs Berry,Sparkling Water,Berry,500ml
79,20,Heritage Springs Plain,Sparkling Water,Plain,1L
80,20,Heritage Springs Citrus,Sparkling Water,Citrus,6-pack
81,21,Golden Fizz Lime,Sparkling Water,Lime,330ml
82,21,Golden Fizz Berry,Sparkling Water,Berry,500ml
83,21,Golden Fizz Plain,Sparkling Water,Plain,1L
84,21,Golden Fizz Citrus,Sparkling Water,Citrus,6-pack
85,22,Crunch Fizz Lime,Sparkling Water,Lime,330ml
86,22,Crunch Fizz Berry,Sparkling Water,Berry,500ml
87,22,Crunch Fizz Plain,Sparkling Water,Plain,1L
88,22,Crunch Fizz Citrus,Sparkling Water,Citrus,6-pack
89,23,Golden Skin Shampoo,Personal Care,Shampoo,100ml
90,23,Golden Skin Body Wash,Personal Care,Body Wash,200ml
91,23,Golden Skin Deodorant,Personal Care,Deodorant,400ml
92,23,Golden Skin Lotion,Personal Care,Lotion,Travel Size
