brand_id,brand_name,category,retailer_id,retailer_name,channel,region,product_acv,category_avg_acv,acv_gap_vs_category
94,Crunch Cereal Co,Breakfast & Cereal,74,ValueTrade GT (Tier 2/3),General Trade,India - Tier 2/3,19.2,63.6752500000000000,44.5
22,Crunch Fizz,Sparkling Water,103,SwiftBasket (UAE),Quick Commerce,Gulf - UAE,19.5,62.9568181818181818,43.5
54,Nomad Drinks,Beverages,66,MetroBazaar (Tier 2/3),Grocery,India - Tier 2/3,19.4,62.6366666666666667,43.2
63,Silver Household,Home Care,7,UrbanPantry,Grocery,North America,18.9,61.5100694444444444,42.6
59,Pure Shine,Home Care,110,Corner Store Network (UAE),General Trade,Gulf - UAE,18.8,61.4090909090909091,42.6
108,Crunch Baby Co,Baby Care,122,Community Retail Co-op (Saudi),General Trade,Gulf - Saudi,22.3,64.5725000000000000,42.3
3,Prime Snacks,Salty Snacks,118,Local Trade Collective (Saudi),General Trade,Gulf - Saudi,20.2,62.3475000000000000,42.1
108,Crunch Baby Co,Baby Care,80,Sundry Traders Network (Tier 2/3),General Trade,India - Tier 2/3,20.0,61.9433333333333333,41.9
36,Cloud Table,Packaged Foods,141,Community Retail Co-op (Qatar),General Trade,Gulf - Qatar,25.3,66.6983333333333333,41.4
21,Golden Fizz,Sparkling Water,55,DartMart (Metro),Quick Commerce,India - Metro,20.7,61.9855603448275862,41.3
89,Nomad Mornings,Breakfast & Cereal,86,Bazaar Wholesale #2 (Tier 2/3),General Trade,India - Tier 2/3,22.6,63.6752500000000000,41.1
19,Fresh Fizz,Sparkling Water,79,MarketLink GT (Tier 2/3),General Trade,India - Tier 2/3,22.4,63.3680000000000000,41.0
20,Heritage Springs,Sparkling Water,46,QuickDash (Metro),Quick Commerce,India - Metro,21.0,61.9855603448275862,41.0
64,Blue Shine,Home Care,181,FreshMart (Indonesia),Grocery,SEA - Indonesia,22.9,63.7145833333333333,40.8
12,True Water Co,Sparkling Water,56,QuickDash #2 (Metro),Quick Commerce,India - Metro,21.2,61.9855603448275862,40.8
16,Sunrise Water Co,Sparkling Water,191,HopMart (Indonesia),Quick Commerce,SEA - Indonesia,23.2,63.8825000000000000,40.7
83,Fresh Treats,Confectionery,115,PrimeGrocer (Saudi),Grocery,Gulf - Saudi,21.8,62.4883333333333333,40.7
30,Cloud Essentials,Personal Care,142,FreshMart (Malaysia),Grocery,SEA - Malaysia,20.9,61.4575000000000000,40.6
2,Bold Snacks,Salty Snacks,121,Corner Store Network (Saudi),General Trade,Gulf - Saudi,22.0,62.3475000000000000,40.3
77,Urban Creamery,Dairy,116,DailyBasket (Saudi),Grocery,Gulf - Saudi,20.0,60.2775000000000000,40.3
82,Meadow Treats,Confectionery,69,DailyBasket (Tier 2/3),Grocery,India - Tier 2/3,22.1,62.4378000000000000,40.3
57,Cloud Shine,Home Care,88,Sundry Traders Network #2 (Tier 2/3),General Trade,India - Tier 2/3,22.6,62.8800000000000000,40.3
42,Urban Kitchen,Packaged Foods,71,UrbanPantry (Tier 2/3),Grocery,India - Tier 2/3,21.7,61.8906000000000000,40.2
87,Pure Sweets,Confectionery,1,FreshMart,Grocery,North America,21.7,61.9236111111111111,40.2
71,Golden Farms,Dairy,7,UrbanPantry,Grocery,North America,20.5,60.7394736842105263,40.2
9,Spring Crisps,Salty Snacks,96,UrbanPantry (UAE),Grocery,Gulf - UAE,22.5,62.7130681818181818,40.2
96,Meadow Breakfast Co,Breakfast & Cereal,83,Neighborhood Wholesale #2 (Tier 2/3),General Trade,India - Tier 2/3,23.6,63.6752500000000000,40.1
62,Royal Household,Home Care,12,MetroBazaar #2,Grocery,North America,21.4,61.5100694444444444,40.1
14,Golden Bubbles,Sparkling Water,7,UrbanPantry,Grocery,North America,23.0,63.0876190476190476,40.1
75,Vivid Dairy,Dairy,111,Community Retail Co-op (UAE),General Trade,Gulf - UAE,24.2,64.2289473684210526,40.0
7,Urban Bites,Salty Snacks,98,BulkBasket Club (UAE),Club,Gulf - UAE,22.9,62.7130681818181818,39.8
103,Coastal Baby Essentials,Baby Care,65,FreshMart (Tier 2/3),Grocery,India - Tier 2/3,22.3,61.9433333333333333,39.6
93,Urban Mornings,Breakfast & Cereal,166,DailyBasket (Philippines),Grocery,SEA - Philippines,22.4,62.0381578947368421,39.6
66,Golden Household,Home Care,186,SunriseMart (Indonesia),Grocery,SEA - Indonesia,24.2,63.7145833333333333,39.5
99,Fresh Cereal Co,Breakfast & Cereal,143,MetroBazaar (Malaysia),Grocery,SEA - Malaysia,23.2,62.5915625000000000,39.4
46,Fresh Refresh,Beverages,2,MetroBazaar,Grocery,North America,23.5,62.8907142857142857,39.4
105,Silver Baby Essentials,Baby Care,196,Corner Store Network (Indonesia),General Trade,SEA - Indonesia,20.4,59.7341666666666667,39.3
22,Crunch Fizz,Sparkling Water,94,DailyBasket (UAE),Grocery,Gulf - UAE,23.7,62.9568181818181818,39.3
18,Royal Fizz,Sparkling Water,29,QuickStop #2,C-Store,North America,23.8,63.0876190476190476,39.3
103,Coastal Baby Essentials,Baby Care,68,PrimeGrocer (Tier 2/3),Grocery,India - Tier 2/3,22.6,61.9433333333333333,39.3
29,Golden Essentials,Personal Care,40,DailyBasket (Metro),Grocery,India - Metro,23.4,62.6680000000000000,39.3
34,Bold Kitchen,Packaged Foods,147,SunriseMart (Malaysia),Grocery,SEA - Malaysia,23.2,62.4881250000000000,39.3
67,Golden Milk Co,Dairy,189,DashKart (Indonesia),Quick Commerce,SEA - Indonesia,24.1,63.3287500000000000,39.2
59,Pure Shine,Home Care,107,Local Trade Collective (UAE),General Trade,Gulf - UAE,22.2,61.4090909090909091,39.2
83,Fresh Treats,Confectionery,87,MarketLink GT #2 (Tier 2/3),General Trade,India - Tier 2/3,23.2,62.4378000000000000,39.2
30,Cloud Essentials,Personal Care,144,GreenAisle (Malaysia),Grocery,SEA - Malaysia,22.4,61.4575000000000000,39.1
50,Crunch Drinks,Beverages,163,MetroBazaar (Philippines),Grocery,SEA - Philippines,25.4,64.5381578947368421,39.1
