id,name,channel,region,total_stores
1,FreshMart,Grocery,North America,162
2,MetroBazaar,Grocery,North America,792
3,GreenAisle,Grocery,North America,682
4,PrimeGrocer,Grocery,North America,483
5,DailyBasket,Grocery,North America,478
6,SunriseMart,Grocery,North America,869
7,UrbanPantry,Grocery,North America,159
8,ValueGrocer,Grocery,North America,721
9,CityMart,Grocery,North America,265
10,HomeFresh,Grocery,North America,166
11,FreshMart #2,Grocery,North America,564
12,MetroBazaar #2,Grocery,North America,977
13,GreenAisle #2,Grocery,North America,756
14,SaverClub,Club,North America,780
15,BulkBasket Club,Club,North America,740
16,WareClub,Club,North America,803
17,MegaValue Club,Club,North America,552
18,SaverClub #2,Club,North America,197
19,GreenLeaf Naturals,Natural,North America,852
20,PureRoots Market,Natural,North America,494
21,EarthAisle,Natural,North America,540
22,NaturaLife Market,Natural,North America,421
23,GreenLeaf Naturals #2,Natural,North America,247
24,PureRoots Market #2,Natural,North America,932
25,QuickStop,C-Store,North America,1516
26,CornerFuel Mart,C-Store,North America,1337
27,GoStop,C-Store,North America,1023
28,ExpressStop,C-Store,North America,1569
29,QuickStop #2,C-Store,North America,1209
30,CornerFuel Mart #2,C-Store,North America,1076
31,GoStop #2,C-Store,North America,1085
32,ExpressStop #2,C-Store,North America,795
33,QuickStop #3,C-Store,North America,619
34,CornerFuel Mart #3,C-Store,North America,1220
35,GoStop #3,C-Store,North America,1654
36,FreshMart (Metro),Grocery,India - Metro,138
37,MetroBazaar (Metro),Grocery,India - Metro,869
38,GreenAisle (Metro),Grocery,India - Metro,841
39,PrimeGrocer (Metro),Grocery,India - Metro,334
40,DailyBasket (Metro),Grocery,India - Metro,661
41,SunriseMart (Metro),Grocery,India - Metro,232
42,QuickStop (Metro),C-Store,India - Metro,1485
43,CornerFuel Mart (Metro),C-Store,India - Metro,1410
44,GoStop (Metro),C-Store,India - Metro,960
45,ExpressStop (Metro),C-Store,India - Metro,588
46,QuickDash (Metro),Quick Commerce,India - Metro,878
47,ZipCart (Metro),Quick Commerce,India - Metro,484
48,DashKart (Metro),Quick Commerce,India - Metro,819
49,SwiftBasket (Metro),Quick Commerce,India - Metro,658
50,HopMart (Metro),Quick Commerce,India - Metro,733
51,FlashCart (Metro),Quick Commerce,India - Metro,719
52,NimbleMart (Metro),Quick Commerce,India - Metro,295
53,RapidBasket (Metro),Quick Commerce,India - Metro,422
54,GoCart Express (Metro),Quick Commerce,India - Metro,500
55,DartMart (Metro),Quick Commerce,India - Metro,523
56,QuickDash #2 (Metro),Quick Commerce,India - Metro,182
57,Local Trade Collective (Metro),General Trade,India - Metro,3959
58,ValueTrade GT (Metro),General Trade,India - Metro,2194
59,Neighborhood Wholesale (Metro),General Trade,India - Metro,4845
60,Corner Store Network (Metro),General Trade,India - Metro,4573
61,Community Retail Co-op (Metro),General Trade,India - Metro,5651
62,Bazaar Wholesale (Metro),General Trade,India - Metro,4851
63,MarketLink GT (Metro),General Trade,India - Metro,3149
64,Sundry Traders Network (Metro),General Trade,India - Metro,5853
65,FreshMart (Tier 2/3),Grocery,India - Tier 2/3,457
66,MetroBazaar (Tier 2/3),Grocery,India - Tier 2/3,379
67,GreenAisle (Tier 2/3),Grocery,India - Tier 2/3,913
68,PrimeGrocer (Tier 2/3),Grocery,India - Tier 2/3,420
69,DailyBasket (Tier 2/3),Grocery,India - Tier 2/3,150
70,SunriseMart (Tier 2/3),Grocery,India - Tier 2/3,511
71,UrbanPantry (Tier 2/3),Grocery,India - Tier 2/3,812
72,ValueGrocer (Tier 2/3),Grocery,India - Tier 2/3,254
73,Local Trade Collective (Tier 2/3),General Trade,India - Tier 2/3,3583
74,ValueTrade GT (Tier 2/3),General Trade,India - Tier 2/3,2084
75,Neighborhood Wholesale (Tier 2/3),General Trade,India - Tier 2/3,4589
76,Corner Store Network (Tier 2/3),General Trade,India - Tier 2/3,3640
77,Community Retail Co-op (Tier 2/3),General Trade,India - Tier 2/3,2985
